date,code,name_ru,quant,value,change
2021-05-08,KGS,КЫРГЫЗСКИЙ СОМ,1,5.04,0.00
2021-05-08,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,103.64,0.00
2021-05-08,MXN,МЕКСИКАНСКИЙ ПЕСО,1,21.13,0.00
2021-05-08,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.1,0.00
2021-05-08,NOK,НОРВЕЖСКАЯ КРОНА,1,51.23,0.00
2021-05-08,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,112.1,0.00
2021-05-08,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,113.86,0.00
2021-05-08,RUB,РОССИЙСКИЙ РУБЛЬ,1,5.72,0.00
2021-05-08,XDR,СДР,1,611.7,0.00
2021-05-08,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,319.94,0.00
2021-05-08,TJS,ТАДЖИКСКИЙ СОМОНИ,1,37.75,0.00
2021-05-08,THB,ТАЙСКИЙ БАТ,1,13.67,0.00
2021-05-08,TRY,ТУРЕЦКАЯ ЛИРА,1,51.36,0.00
2021-05-08,UZS,УЗБЕКСКИХ СУМОВ,100,4.07,0.00
2021-05-08,UAH,УКРАИНСКАЯ ГРИВНА,1,15.39,0.00
2021-05-08,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,594.2,0.00
2021-05-08,CZK,ЧЕШСКАЯ КРОНА,1,19.91,0.00
2021-05-08,SEK,ШВЕДСКАЯ КРОНА,1,50.5,0.00
2021-05-08,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,469.48,0.00
2021-05-08,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,29.94,0.00
2021-05-08,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,38.02,0.00
2021-05-08,JPY,ЯПОНСКАЯ ЙЕНА,1,3.91,0.00
2021-05-09,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,330.96,0.00
2021-05-09,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,252.21,0.00
2021-05-09,AMD,АРМЯНСКИЙ ДРАМ,10,8.21,0.00
2021-05-09,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,167.99,0.00
2021-05-09,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,79.76,0.00
2021-05-09,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,14.35,0.00
2021-05-09,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,54.96,0.00
2021-05-09,GEL,ГРУЗИНСКИЙ ЛАРИ,1,124.49,0.00
2021-05-09,DKK,ДАТСКАЯ КРОНА,1,69.18,0.00
2021-05-09,AED,ДИРХАМ ОАЭ,1,116.26,0.00
2021-05-09,USD,ДОЛЛАР США,1,426.99,0.00
2021-05-09,EUR,ЕВРО,1,514.35,0.00
2021-05-09,INR,ИНДИЙСКАЯ РУПИЯ,1,5.79,0.00
2021-05-09,IRR,ИРАНСКИЙ РИАЛ,1000,10.2,0.00
2021-05-09,CAD,КАНАДСКИЙ ДОЛЛАР,1,348.65,0.00
2021-05-09,CNY,КИТАЙСКИЙ ЮАНЬ,1,65.96,0.00
2021-05-09,KWD,КУВЕЙТСКИЙ ДИНАР,1,1418.38,0.00
2021-05-09,KGS,КЫРГЫЗСКИЙ СОМ,1,5.04,0.00
2021-05-09,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,103.64,0.00
2021-05-09,MXN,МЕКСИКАНСКИЙ ПЕСО,1,21.13,0.00
2021-05-09,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.1,0.00
2021-05-09,NOK,НОРВЕЖСКАЯ КРОНА,1,51.23,0.00
2021-05-09,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,112.1,0.00
2021-05-09,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,113.86,0.00
2021-05-09,RUB,РОССИЙСКИЙ РУБЛЬ,1,5.72,0.00
2021-05-09,XDR,СДР,1,611.7,0.00
2021-05-09,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,319.94,0.00
2021-05-09,TJS,ТАДЖИКСКИЙ СОМОНИ,1,37.75,0.00
2021-05-09,THB,ТАЙСКИЙ БАТ,1,13.67,0.00
2021-05-09,TRY,ТУРЕЦКАЯ ЛИРА,1,51.36,0.00
2021-05-09,UZS,УЗБЕКСКИХ СУМОВ,100,4.07,0.00
2021-05-09,UAH,УКРАИНСКАЯ ГРИВНА,1,15.39,0.00
2021-05-09,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,594.2,0.00
2021-05-09,CZK,ЧЕШСКАЯ КРОНА,1,19.91,0.00
2021-05-09,SEK,ШВЕДСКАЯ КРОНА,1,50.5,0.00
2021-05-09,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,469.48,0.00
2021-05-09,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,29.94,0.00
2021-05-09,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,38.02,0.00
2021-05-09,JPY,ЯПОНСКАЯ ЙЕНА,1,3.91,0.00
2021-05-10,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,330.96,0.00
2021-05-10,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,252.21,0.00
2021-05-10,AMD,АРМЯНСКИЙ ДРАМ,10,8.21,0.00
2021-05-10,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,167.99,0.00
2021-05-10,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,79.76,0.00
2021-05-10,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,14.35,0.00
2021-05-10,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,54.96,0.00
2021-05-10,GEL,ГРУЗИНСКИЙ ЛАРИ,1,124.49,0.00
2021-05-10,DKK,ДАТСКАЯ КРОНА,1,69.18,0.00
2021-05-10,AED,ДИРХАМ ОАЭ,1,116.26,0.00
2021-05-10,USD,ДОЛЛАР США,1,426.99,0.00
2021-05-10,EUR,ЕВРО,1,514.35,0.00
2021-05-10,INR,ИНДИЙСКАЯ РУПИЯ,1,5.79,0.00
2021-05-10,IRR,ИРАНСКИЙ РИАЛ,1000,10.2,0.00
2021-05-10,CAD,КАНАДСКИЙ ДОЛЛАР,1,348.65,0.00
2021-05-10,CNY,КИТАЙСКИЙ ЮАНЬ,1,65.96,0.00
2021-05-10,KWD,КУВЕЙТСКИЙ ДИНАР,1,1418.38,0.00
2021-05-10,KGS,КЫРГЫЗСКИЙ СОМ,1,5.04,0.00
2021-05-10,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,103.64,0.00
2021-05-10,MXN,МЕКСИКАНСКИЙ ПЕСО,1,21.13,0.00
2021-05-10,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.1,0.00
2021-05-10,NOK,НОРВЕЖСКАЯ КРОНА,1,51.23,0.00
2021-05-10,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,112.1,0.00
2021-05-10,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,113.86,0.00
2021-05-10,RUB,РОССИЙСКИЙ РУБЛЬ,1,5.72,0.00
2021-05-10,XDR,СДР,1,611.7,0.00
2021-05-10,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,319.94,0.00
2021-05-10,TJS,ТАДЖИКСКИЙ СОМОНИ,1,37.75,0.00
2021-05-10,THB,ТАЙСКИЙ БАТ,1,13.67,0.00
2021-05-10,TRY,ТУРЕЦКАЯ ЛИРА,1,51.36,0.00
2021-05-10,UZS,УЗБЕКСКИХ СУМОВ,100,4.07,0.00
2021-05-10,UAH,УКРАИНСКАЯ ГРИВНА,1,15.39,0.00
2021-05-10,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,594.2,0.00
2021-05-10,CZK,ЧЕШСКАЯ КРОНА,1,19.91,0.00
2021-05-10,SEK,ШВЕДСКАЯ КРОНА,1,50.5,0.00
2021-05-10,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,469.48,0.00
2021-05-10,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,29.94,0.00
2021-05-10,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,38.02,0.00
2021-05-10,JPY,ЯПОНСКАЯ ЙЕНА,1,3.91,0.00
2021-05-11,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,330.96,0.00
2021-05-11,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,252.21,0.00
2021-05-11,AMD,АРМЯНСКИЙ ДРАМ,10,8.21,0.00
2021-05-11,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,167.99,0.00
2021-05-11,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,79.76,0.00
