date,code,name_ru,quant,value,change
2022-11-21,USD,ДОЛЛАР США,1,459.04,0.00
2022-11-21,EUR,ЕВРО,1,476.44,0.00
2022-11-21,INR,ИНДИЙСКАЯ РУПИЯ,1,5.62,0.00
2022-11-21,IRR,ИРАНСКИЙ РИАЛ,1000,10.9,0.00
2022-11-21,CAD,КАНАДСКИЙ ДОЛЛАР,1,344.16,0.00
2022-11-21,CNY,КИТАЙСКИЙ ЮАНЬ,1,64.51,0.00
2022-11-21,KWD,КУВЕЙТСКИЙ ДИНАР,1,1491.75,0.00
2022-11-21,KGS,КЫРГЫЗСКИЙ СОМ,1,5.44,0.00
2022-11-21,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,100.89,0.00
2022-11-21,MXN,МЕКСИКАНСКИЙ ПЕСО,1,23.6,0.00
2022-11-21,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.03,0.00
2022-11-21,NOK,НОРВЕЖСКАЯ КРОНА,1,45.45,0.00
2022-11-21,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,101.27,0.00
2022-11-21,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,122.15,0.00
2022-11-21,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.61,0.00
2022-11-21,XDR,СДР,1,601.65,0.00
2022-11-21,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,334.5,0.00
2022-11-21,TJS,ТАДЖИКСКИЙ СОМОНИ,1,45.77,0.00
2022-11-21,THB,ТАЙСКИЙ БАТ,1,12.84,0.00
2022-11-21,TRY,ТУРЕЦКАЯ ЛИРА,1,24.66,0.00
2022-11-21,UZS,УЗБЕКСКИХ СУМОВ,100,4.1,0.00
2022-11-21,UAH,УКРАИНСКАЯ ГРИВНА,1,12.43,0.00
2022-11-21,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,547.45,0.00
2022-11-21,CZK,ЧЕШСКАЯ КРОНА,1,19.57,0.00
2022-11-21,SEK,ШВЕДСКАЯ КРОНА,1,43.33,0.00
2022-11-21,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,482.84,0.00
2022-11-21,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,26.48,0.00
2022-11-21,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,34.36,0.00
2022-11-21,JPY,ЯПОНСКАЯ ЙЕНА,1,3.28,0.00
2022-11-22,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,306.31,-1.75
2022-11-22,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,273.32,+2.66
2022-11-22,AMD,АРМЯНСКИЙ ДРАМ,10,11.86,+0.12
2022-11-22,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,184.01,+1.79
2022-11-22,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,86.12,+1.47
2022-11-22,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,11.56,-0.06
2022-11-22,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,59.4,+0.72
2022-11-22,GEL,ГРУЗИНСКИЙ ЛАРИ,1,172.64,+1.68
2022-11-22,DKK,ДАТСКАЯ КРОНА,1,63.74,-0.33
2022-11-22,AED,ДИРХАМ ОАЭ,1,126.21,+1.23
2022-11-22,USD,ДОЛЛАР США,1,463.55,+4.51
2022-11-22,EUR,ЕВРО,1,473.93,-2.51
2022-11-22,INR,ИНДИЙСКАЯ РУПИЯ,1,5.66,+0.04
2022-11-22,IRR,ИРАНСКИЙ РИАЛ,1000,11,+0.10
2022-11-22,CAD,КАНАДСКИЙ ДОЛЛАР,1,345.01,+0.85
2022-11-22,CNY,КИТАЙСКИЙ ЮАНЬ,1,64.68,+0.17
2022-11-22,KWD,КУВЕЙТСКИЙ ДИНАР,1,1504.69,+12.94
2022-11-22,KGS,КЫРГЫЗСКИЙ СОМ,1,5.49,+0.05
2022-11-22,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,101.32,+0.43
2022-11-22,MXN,МЕКСИКАНСКИЙ ПЕСО,1,23.74,+0.14
2022-11-22,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.24,+0.21
2022-11-22,NOK,НОРВЕЖСКАЯ КРОНА,1,45.12,-0.33
2022-11-22,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,100.88,-0.39
2022-11-22,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,123.36,+1.21
2022-11-22,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.64,+0.03
2022-11-22,XDR,СДР,1,608.4,+6.75
2022-11-22,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,335.32,+0.82
2022-11-22,TJS,ТАДЖИКСКИЙ СОМОНИ,1,46.63,+0.86
2022-11-22,THB,ТАЙСКИЙ БАТ,1,12.8,-0.04
2022-11-22,TRY,ТУРЕЦКАЯ ЛИРА,1,24.89,+0.23
2022-11-22,UZS,УЗБЕКСКИХ СУМОВ,100,4.14,+0.04
2022-11-22,UAH,УКРАИНСКАЯ ГРИВНА,1,12.68,+0.25
2022-11-22,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,547.22,-0.23
2022-11-22,CZK,ЧЕШСКАЯ КРОНА,1,19.47,-0.10
2022-11-22,SEK,ШВЕДСКАЯ КРОНА,1,43.14,-0.19
2022-11-22,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,483.37,+0.53
2022-11-22,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,26.57,+0.09
2022-11-22,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,34.13,-0.23
2022-11-22,JPY,ЯПОНСКАЯ ЙЕНА,1,3.27,-0.01
2022-11-23,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,307.27,+0.96
2022-11-23,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,272.85,-0.47
2022-11-23,AMD,АРМЯНСКИЙ ДРАМ,10,11.84,-0.02
2022-11-23,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,183.7,-0.31
2022-11-23,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,86.98,+0.86
2022-11-23,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,11.64,+0.08
2022-11-23,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,59.23,-0.17
2022-11-23,GEL,ГРУЗИНСКИЙ ЛАРИ,1,172.35,-0.29
2022-11-23,DKK,ДАТСКАЯ КРОНА,1,63.89,+0.15
2022-11-23,AED,ДИРХАМ ОАЭ,1,125.99,-0.22
2022-11-23,USD,ДОЛЛАР США,1,462.75,-0.80
2022-11-23,EUR,ЕВРО,1,475.15,+1.22
2022-11-23,INR,ИНДИЙСКАЯ РУПИЯ,1,5.67,+0.01
2022-11-23,IRR,ИРАНСКИЙ РИАЛ,1000,11,0.00
2022-11-23,CAD,КАНАДСКИЙ ДОЛЛАР,1,345.28,+0.27
2022-11-23,CNY,КИТАЙСКИЙ ЮАНЬ,1,64.87,+0.19
2022-11-23,KWD,КУВЕЙТСКИЙ ДИНАР,1,1502.83,-1.86
2022-11-23,KGS,КЫРГЫЗСКИЙ СОМ,1,5.48,-0.01
2022-11-23,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,101.15,-0.17
2022-11-23,MXN,МЕКСИКАНСКИЙ ПЕСО,1,23.69,-0.05
2022-11-23,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.16,-0.08
2022-11-23,NOK,НОРВЕЖСКАЯ КРОНА,1,45.39,+0.27
2022-11-23,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,100.92,+0.04
2022-11-23,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,123.14,-0.22
2022-11-23,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.64,0.00
2022-11-23,XDR,СДР,1,603.45,-4.95
2022-11-23,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,335.59,+0.27
2022-11-23,TJS,ТАДЖИКСКИЙ СОМОНИ,1,46.04,-0.59
2022-11-23,THB,ТАЙСКИЙ БАТ,1,12.83,+0.03
2022-11-23,TRY,ТУРЕЦКАЯ ЛИРА,1,24.85,-0.04
2022-11-23,UZS,УЗБЕКСКИХ СУМОВ,100,4.14,0.00
2022-11-23,UAH,УКРАИНСКАЯ ГРИВНА,1,12.53,-0.15
2022-11-23,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,548.73,+1.51
2022-11-23,CZK,ЧЕШСКАЯ КРОНА,1,19.52,+0.05
2022-11-23,SEK,ШВЕДСКАЯ КРОНА,1,43.41,+0.27
2022-11-23,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,484.4,+1.03
2022-11-23,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,26.82,+0.25
2022-11-23,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,34.22,+0.09
2022-11-23,JPY,ЯПОНСКАЯ ЙЕНА,1,3.28,+0.01
2022-11-24,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,307.75,+0.48
2022-11-24,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,272.79,-0.06
2022-11-24,AMD,АРМЯНСКИЙ ДРАМ,10,11.83,-0.01
2022-11-24,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,183.66,-0.04
2022-11-24,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,86.34,-0.64
2022-11-24,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,11.78,+0.14
2022-11-24,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,59.19,-0.04
2022-11-24,GEL,ГРУЗИНСКИЙ ЛАРИ,1,172.31,-0.04
2022-11-24,DKK,ДАТСКАЯ КРОНА,1,64.22,+0.33
2022-11-24,AED,ДИРХАМ ОАЭ,1,125.96,-0.03
2022-11-24,USD,ДОЛЛАР США,1,462.65,-0.10
2022-11-24,EUR,ЕВРО,1,477.55,+2.40
2022-11-24,INR,ИНДИЙСКАЯ РУПИЯ,1,5.65,-0.02
2022-11-24,IRR,ИРАНСКИЙ РИАЛ,1000,11,0.00
2022-11-24,CAD,КАНАДСКИЙ ДОЛЛАР,1,345.6,+0.32
2022-11-24,CNY,КИТАЙСКИЙ ЮАНЬ,1,64.67,-0.20
2022-11-24,KWD,КУВЕЙТСКИЙ ДИНАР,1,1503.23,+0.40
2022-11-24,KGS,КЫРГЫЗСКИЙ СОМ,1,5.48,0.00
2022-11-24,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,101.19,+0.04
2022-11-24,MXN,МЕКСИКАНСКИЙ ПЕСО,1,23.82,+0.13
2022-11-24,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.12,-0.04
2022-11-24,NOK,НОРВЕЖСКАЯ КРОНА,1,46.1,+0.71
2022-11-24,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,101.76,+0.84
2022-11-24,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,123.1,-0.04
2022-11-24,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.64,0.00
2022-11-24,XDR,СДР,1,604.8,+1.35
2022-11-24,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,334.55,-1.04
2022-11-24,TJS,ТАДЖИКСКИЙ СОМОНИ,1,46.13,+0.09
2022-11-24,THB,ТАЙСКИЙ БАТ,1,12.76,-0.07
2022-11-24,TRY,ТУРЕЦКАЯ ЛИРА,1,24.84,-0.01
2022-11-24,UZS,УЗБЕКСКИХ СУМОВ,100,4.14,0.00
2022-11-24,UAH,УКРАИНСКАЯ ГРИВНА,1,12.53,0.00
2022-11-24,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,551.43,+2.70
2022-11-24,CZK,ЧЕШСКАЯ КРОНА,1,19.62,+0.10
2022-11-24,SEK,ШВЕДСКАЯ КРОНА,1,43.7,+0.29
2022-11-24,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,486.44,+2.04
2022-11-24,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,26.87,+0.05
2022-11-24,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,34.22,0.00
2022-11-24,JPY,ЯПОНСКАЯ ЙЕНА,1,3.27,-0.01
2022-11-25,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,314.1,+6.35
2022-11-25,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,274.73,+1.94
2022-11-25,AMD,АРМЯНСКИЙ ДРАМ,10,11.92,+0.09
2022-11-25,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,184.97,+1.31
2022-11-25,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,86.95,+0.61
2022-11-25,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,11.72,-0.06
2022-11-25,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,59.67,+0.48
2022-11-25,GEL,ГРУЗИНСКИЙ ЛАРИ,1,173.54,+1.23
2022-11-25,DKK,ДАТСКАЯ КРОНА,1,65.28,+1.06
2022-11-25,AED,ДИРХАМ ОАЭ,1,126.87,+0.91
2022-11-25,USD,ДОЛЛАР США,1,465.95,+3.30
2022-11-25,EUR,ЕВРО,1,485.43,+7.88
2022-11-25,INR,ИНДИЙСКАЯ РУПИЯ,1,5.71,+0.06
2022-11-25,IRR,ИРАНСКИЙ РИАЛ,1000,11.1,+0.10
2022-11-25,CAD,КАНАДСКИЙ ДОЛЛАР,1,349.08,+3.48
2022-11-25,CNY,КИТАЙСКИЙ ЮАНЬ,1,65.28,+0.61
2022-11-25,KWD,КУВЕЙТСКИЙ ДИНАР,1,1517.36,+14.13
2022-11-25,KGS,КЫРГЫЗСКИЙ СОМ,1,5.52,+0.04
2022-11-25,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,103.78,+2.59
2022-11-25,MXN,МЕКСИКАНСКИЙ ПЕСО,1,24.09,+0.27
2022-11-25,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.34,+0.22
2022-11-25,NOK,НОРВЕЖСКАЯ КРОНА,1,46.83,+0.73
2022-11-25,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,103.41,+1.65
2022-11-25,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,124,+0.90
2022-11-25,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.72,+0.08
2022-11-25,XDR,СДР,1,609.86,+5.06
2022-11-25,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,339.19,+4.64
2022-11-25,TJS,ТАДЖИКСКИЙ СОМОНИ,1,46.36,+0.23
2022-11-25,THB,ТАЙСКИЙ БАТ,1,13.03,+0.27
2022-11-25,TRY,ТУРЕЦКАЯ ЛИРА,1,25.01,+0.17
2022-11-25,UZS,УЗБЕКСКИХ СУМОВ,100,4.16,+0.02
2022-11-25,UAH,УКРАИНСКАЯ ГРИВНА,1,12.74,+0.21
2022-11-25,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,563.43,+12.00
2022-11-25,CZK,ЧЕШСКАЯ КРОНА,1,19.94,+0.32
2022-11-25,SEK,ШВЕДСКАЯ КРОНА,1,44.57,+0.87
2022-11-25,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,494.01,+7.57
2022-11-25,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,27.45,+0.58
2022-11-25,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,35.08,+0.86
2022-11-25,JPY,ЯПОНСКАЯ ЙЕНА,1,3.36,+0.09
2022-11-26,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,313.39,-0.71
2022-11-26,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,274.4,-0.33
2022-11-26,AMD,АРМЯНСКИЙ ДРАМ,10,11.9,-0.02
2022-11-26,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,184.74,-0.23
2022-11-26,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,87.46,+0.51
2022-11-26,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,11.73,+0.01
2022-11-26,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,59.57,-0.10
2022-11-26,GEL,ГРУЗИНСКИЙ ЛАРИ,1,173.97,+0.43
2022-11-26,DKK,ДАТСКАЯ КРОНА,1,65.04,-0.24
2022-11-26,AED,ДИРХАМ ОАЭ,1,126.71,-0.16
2022-11-26,USD,ДОЛЛАР США,1,465.38,-0.57
2022-11-26,EUR,ЕВРО,1,483.58,-1.85
2022-11-26,INR,ИНДИЙСКАЯ РУПИЯ,1,5.7,-0.01
2022-11-26,IRR,ИРАНСКИЙ РИАЛ,1000,11.1,0.00
2022-11-26,CAD,КАНАДСКИЙ ДОЛЛАР,1,348.29,-0.79
2022-11-26,CNY,КИТАЙСКИЙ ЮАНЬ,1,64.95,-0.33
2022-11-26,KWD,КУВЕЙТСКИЙ ДИНАР,1,1513.28,-4.08
2022-11-26,KGS,КЫРГЫЗСКИЙ СОМ,1,5.51,-0.01
2022-11-26,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,104,+0.22
2022-11-26,MXN,МЕКСИКАНСКИЙ ПЕСО,1,23.98,-0.11
2022-11-26,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.31,-0.03
2022-11-26,NOK,НОРВЕЖСКАЯ КРОНА,1,46.95,+0.12
2022-11-26,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,103.18,-0.23
2022-11-26,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,123.86,-0.14
2022-11-26,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.69,-0.03
2022-11-26,XDR,СДР,1,609.12,-0.74
2022-11-26,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,338.51,-0.68
2022-11-26,TJS,ТАДЖИКСКИЙ СОМОНИ,1,46.54,+0.18
2022-11-26,THB,ТАЙСКИЙ БАТ,1,12.99,-0.04
2022-11-26,TRY,ТУРЕЦКАЯ ЛИРА,1,24.98,-0.03
2022-11-26,UZS,УЗБЕКСКИХ СУМОВ,100,4.15,-0.01
2022-11-26,UAH,УКРАИНСКАЯ ГРИВНА,1,12.6,-0.14
2022-11-26,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,562.13,-1.30
2022-11-26,CZK,ЧЕШСКАЯ КРОНА,1,19.86,-0.08
2022-11-26,SEK,ШВЕДСКАЯ КРОНА,1,44.63,+0.06
2022-11-26,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,492.52,-1.49
2022-11-26,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,27.16,-0.29
2022-11-26,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,34.97,-0.11
2022-11-26,JPY,ЯПОНСКАЯ ЙЕНА,1,3.34,-0.02
2022-11-27,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,313.39,0.00
2022-11-27,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,274.4,0.00
2022-11-27,AMD,АРМЯНСКИЙ ДРАМ,10,11.9,0.00
2022-11-27,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,184.74,0.00
2022-11-27,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,87.46,0.00
2022-11-27,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,11.73,0.00
2022-11-27,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,59.57,0.00
2022-11-27,GEL,ГРУЗИНСКИЙ ЛАРИ,1,173.97,0.00
2022-11-27,DKK,ДАТСКАЯ КРОНА,1,65.04,0.00
2022-11-27,AED,ДИРХАМ ОАЭ,1,126.71,0.00
2022-11-27,USD,ДОЛЛАР США,1,465.38,0.00
2022-11-27,EUR,ЕВРО,1,483.58,0.00
2022-11-27,INR,ИНДИЙСКАЯ РУПИЯ,1,5.7,0.00
2022-11-27,IRR,ИРАНСКИЙ РИАЛ,1000,11.1,0.00
2022-11-27,CAD,КАНАДСКИЙ ДОЛЛАР,1,348.29,0.00
2022-11-27,CNY,КИТАЙСКИЙ ЮАНЬ,1,64.95,0.00
2022-11-27,KWD,КУВЕЙТСКИЙ ДИНАР,1,1513.28,0.00
2022-11-27,KGS,КЫРГЫЗСКИЙ СОМ,1,5.51,0.00
2022-11-27,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,104,0.00
2022-11-27,MXN,МЕКСИКАНСКИЙ ПЕСО,1,23.98,0.00
2022-11-27,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.31,0.00
2022-11-27,NOK,НОРВЕЖСКАЯ КРОНА,1,46.95,0.00
2022-11-27,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,103.18,0.00
2022-11-27,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,123.86,0.00
2022-11-27,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.69,0.00
2022-11-27,XDR,СДР,1,609.12,0.00
2022-11-27,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,338.51,0.00
2022-11-27,TJS,ТАДЖИКСКИЙ СОМОНИ,1,46.54,0.00
2022-11-27,THB,ТАЙСКИЙ БАТ,1,12.99,0.00
2022-11-27,TRY,ТУРЕЦКАЯ ЛИРА,1,24.98,0.00
2022-11-27,UZS,УЗБЕКСКИХ СУМОВ,100,4.15,0.00
2022-11-27,UAH,УКРАИНСКАЯ ГРИВНА,1,12.6,0.00
2022-11-27,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,562.13,0.00
2022-11-27,CZK,ЧЕШСКАЯ КРОНА,1,19.86,0.00
2022-11-27,SEK,ШВЕДСКАЯ КРОНА,1,44.63,0.00
2022-11-27,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,492.52,0.00
2022-11-27,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,27.16,0.00
2022-11-27,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,34.97,0.00
2022-11-27,JPY,ЯПОНСКАЯ ЙЕНА,1,3.34,0.00
2022-11-28,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,313.39,0.00
2022-11-28,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,274.4,0.00
2022-11-28,AMD,АРМЯНСКИЙ ДРАМ,10,11.9,0.00
2022-11-28,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,184.74,0.00
2022-11-28,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,87.46,0.00
2022-11-28,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,11.73,0.00
2022-11-28,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,59.57,0.00
2022-11-28,GEL,ГРУЗИНСКИЙ ЛАРИ,1,173.97,0.00
2022-11-28,DKK,ДАТСКАЯ КРОНА,1,65.04,0.00
2022-11-28,AED,ДИРХАМ ОАЭ,1,126.71,0.00
2022-11-28,USD,ДОЛЛАР США,1,465.38,0.00
2022-11-28,EUR,ЕВРО,1,483.58,0.00
2022-11-28,INR,ИНДИЙСКАЯ РУПИЯ,1,5.7,0.00
2022-11-28,IRR,ИРАНСКИЙ РИАЛ,1000,11.1,0.00
2022-11-28,CAD,КАНАДСКИЙ ДОЛЛАР,1,348.29,0.00
2022-11-28,CNY,КИТАЙСКИЙ ЮАНЬ,1,64.95,0.00
2022-11-28,KWD,КУВЕЙТСКИЙ ДИНАР,1,1513.28,0.00
2022-11-28,KGS,КЫРГЫЗСКИЙ СОМ,1,5.51,0.00
2022-11-28,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,104,0.00
2022-11-28,MXN,МЕКСИКАНСКИЙ ПЕСО,1,23.98,0.00
2022-11-28,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.31,0.00
2022-11-28,NOK,НОРВЕЖСКАЯ КРОНА,1,46.95,0.00
2022-11-28,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,103.18,0.00
2022-11-28,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,123.86,0.00
2022-11-28,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.69,0.00
2022-11-28,XDR,СДР,1,609.12,0.00
2022-11-28,SGD,СИНГАПУРСКИЙ ДОЛЛАР,1,338.51,0.00
2022-11-28,TJS,ТАДЖИКСКИЙ СОМОНИ,1,46.54,0.00
2022-11-28,THB,ТАЙСКИЙ БАТ,1,12.99,0.00
2022-11-28,TRY,ТУРЕЦКАЯ ЛИРА,1,24.98,0.00
2022-11-28,UZS,УЗБЕКСКИХ СУМОВ,100,4.15,0.00
2022-11-28,UAH,УКРАИНСКАЯ ГРИВНА,1,12.6,0.00
2022-11-28,GBP,ФУНТ СТЕРЛИНГОВ СОЕДИНЕННОГО КОРОЛЕВСТВА,1,562.13,0.00
2022-11-28,CZK,ЧЕШСКАЯ КРОНА,1,19.86,0.00
2022-11-28,SEK,ШВЕДСКАЯ КРОНА,1,44.63,0.00
2022-11-28,CHF,ШВЕЙЦАРСКИЙ ФРАНК,1,492.52,0.00
2022-11-28,ZAR,ЮЖНО-АФРИКАНСКИЙ РАНД,1,27.16,0.00
2022-11-28,KRW,ЮЖНО-КОРЕЙСКИХ ВОН,100,34.97,0.00
2022-11-28,JPY,ЯПОНСКАЯ ЙЕНА,1,3.34,0.00
2022-11-29,AUD,АВСТРАЛИЙСКИЙ ДОЛЛАР,1,313.51,+0.12
2022-11-29,AZN,АЗЕРБАЙДЖАНСКИЙ МАНАТ,1,275.94,+1.54
2022-11-29,AMD,АРМЯНСКИЙ ДРАМ,10,11.97,+0.07
2022-11-29,BYN,БЕЛОРУССКИЙ РУБЛЬ,1,185.78,+1.04
2022-11-29,BRL,БРАЗИЛЬСКИЙ РЕАЛ,1,86.51,-0.95
2022-11-29,HUF,ВЕНГЕРСКИХ ФОРИНТОВ,10,11.98,+0.25
2022-11-29,HKD,ГОНКОНГСКИЙ ДОЛЛАР,1,59.91,+0.34
2022-11-29,GEL,ГРУЗИНСКИЙ ЛАРИ,1,174.95,+0.98
2022-11-29,DKK,ДАТСКАЯ КРОНА,1,65.76,+0.72
2022-11-29,AED,ДИРХАМ ОАЭ,1,127.42,+0.71
2022-11-29,USD,ДОЛЛАР США,1,467.99,+2.61
2022-11-29,EUR,ЕВРО,1,488.82,+5.24
2022-11-29,INR,ИНДИЙСКАЯ РУПИЯ,1,5.73,+0.03
2022-11-29,IRR,ИРАНСКИЙ РИАЛ,1000,11.1,0.00
2022-11-29,CAD,КАНАДСКИЙ ДОЛЛАР,1,348.16,-0.13
2022-11-29,CNY,КИТАЙСКИЙ ЮАНЬ,1,65.06,+0.11
2022-11-29,KWD,КУВЕЙТСКИЙ ДИНАР,1,1522.66,+9.38
2022-11-29,KGS,КЫРГЫЗСКИЙ СОМ,1,5.54,+0.03
2022-11-29,MYR,МАЛАЗИЙСКИЙ РИНГГИТ,1,104.58,+0.58
2022-11-29,MXN,МЕКСИКАНСКИЙ ПЕСО,1,24.21,+0.23
2022-11-29,MDL,МОЛДАВСКИЙ ЛЕЙ,1,24.39,+0.08
2022-11-29,NOK,НОРВЕЖСКАЯ КРОНА,1,47.24,+0.29
2022-11-29,PLN,ПОЛЬСКИЙ ЗЛОТЫЙ,1,104.37,+1.19
2022-11-29,SAR,РИЯЛ САУДОВСКОЙ АРАВИИ,1,124.55,+0.69
2022-11-29,RUB,РОССИЙСКИЙ РУБЛЬ,1,7.7,+0.01
