,RUB,BRENT,CNY,EUR,NOK,TRY,UZS,KGS,наблюдений
дневные,0.01727863051895019,0.004183006384325857,0.0057042033909580295,0.007040688109871724,-0.009407656613616554,-0.014158405083723555,0.06626738007103974,0.014842957958763954,2426.0
недельные,0.09228821404879324,-0.02391691156682388,0.014482292800011993,0.01859740956519223,-0.012115496807223767,-0.014312537197968813,0.09119020737345378,0.11908159280520574,554.0
месячные,0.09873117058146749,-0.06718674263229753,0.16150710926468,0.07671885117411233,0.062301725746106054,0.03949389743715276,0.07024491611636191,0.17264290045252906,127.0
квартальные,0.28928570420896776,-0.005904528139420482,0.3227153357635959,0.22161239343442699,0.024672201560251638,0.10651862723223009,0.12784219498703547,0.44139695890524977,42.0
