,corr RUB,corr BRENT,corr CNY,corr EUR,волатильность_год_%,дней_без_движения_%,наблюдений
управляемый курс,0.017282727162822614,0.004172172299232105,0.005702910816606455,0.006957298033652491,7.037917186765165,13.686618375905452,2427.0
плавающий курс,0.27951031756455114,-0.0878384382611794,0.0866441212933236,0.13612028228140569,11.652202270290536,0.29531192321889993,2569.0
