,RUB,BRENT,CNY,EUR,NOK,TRY,UZS,KGS,наблюдений
дневные,0.31486722290929103,-0.12971982501368196,0.11960000191507017,0.1180498106932552,0.2169501950104449,0.10697207529412366,0.02594203942780857,0.06047289746659644,2569.0
недельные,0.384470531764546,-0.28410602058133894,0.16785486368061345,0.1345845976784026,0.21080292908273518,0.15605622537525562,-0.022140468737194136,0.16677267425473608,577.0
месячные,0.3977719060201385,-0.28445945256628685,0.15186031564664712,0.1517582966915253,0.2228144989339019,0.1474581977331388,0.019123453137592963,0.24021893267769148,133.0
квартальные,0.485553206483439,-0.2562367864693446,0.3570119802677942,0.29767441860465116,0.34785059901338966,0.08118393234672304,0.0599013389711064,0.24045102184637068,44.0
