,RUB,BRENT,CNY,EUR,NOK,TRY,UZS,KGS,наблюдений
дневные,0.18941886172424652,-0.05168360662634891,0.051331865532061344,0.04882499673177881,0.09408770466203076,0.05851346483241314,0.029701773178697835,0.028560491449573684,4996.0
недельные,0.2802316306954755,-0.1496313598563311,0.09237936471849627,0.06465571084790096,0.0933970790331803,0.07050134482816964,0.003899506617080907,0.10280014177233024,1131.0
месячные,0.3239188690060907,-0.32678730856733634,0.1903390847744875,0.049735318449851205,0.16872664374419358,0.09359879514900327,0.01996701346705242,0.3254739451074429,260.0
квартальные,0.38400281800712,-0.32434364407133237,0.3340024440660041,0.18113151396479962,0.2644016796832904,0.10100750398722488,0.08260489272118456,0.5333217760027364,86.0
