lag,corr,n
-5,0.051953195347531636,1275
-4,0.004428780735687064,1276
-3,-0.005738016618671178,1277
-2,0.10360992671566037,1278
-1,0.00683372250237523,1280
0,0.3196133189850257,1287
1,0.10250115422021619,1280
2,-0.08619835035686373,1278
3,-0.013653228783985238,1277
4,0.1350761430412294,1276
5,0.03424860095509058,1275
