,Пирсон,Спирмен,без движений >40%,без 2020 года,наблюдений
дневные,0.2833073012781827,0.32158090249252863,0.2833073012781827,0.26523089033872616,2709.0
недельные,0.3997921276263069,0.384470531764546,0.3997921276263069,0.3724656181115975,577.0
месячные,0.4214886951821288,0.3977719060201385,0.4214886951821288,0.3597556300823702,133.0
квартальные,0.4044968130026577,0.485553206483439,0.5078921941577298,0.28277826942918016,44.0
