lag,corr,n
-4,-0.019452483141338774,2557
-3,0.0018170186910854867,2557
-2,-0.03217541637111687,2558
-1,-0.00927705406054356,2559
0,-0.06936497437409736,2570
1,-0.1568837939334212,2560
2,-0.01078323424797559,2558
3,-0.014483764235824939,2557
4,-0.02310016545823581,2557
