,Пирсон,Спирмен,без движений >40%,без 2020 года,наблюдений
дневные,-0.0878384382611794,-0.12971982501368196,-0.10056574125797915,-0.06752225488767437,2569.0
недельные,-0.21687743903386464,-0.28410602058133894,-0.21687743903386464,-0.1319564929850281,577.0
месячные,-0.4592386198229975,-0.28445945256628685,-0.261876855398626,-0.26220494496298763,133.0
квартальные,-0.5011770946334358,-0.2562367864693446,-0.08430315831074982,-0.224370402727435,44.0
