,corr_with_kzt
RUB,0.31961331898502626
NOK,0.15235202339209467
CAD,0.14511578048786553
EUR,0.13524150730336162
AUD,0.1327360069412537
GEL,0.13226188015825013
INR,0.12013065689337586
GBP,0.10897389946999671
MXN,0.09951197432763027
ZAR,0.08989440370596814
CNY,0.08462980793171644
BRL,0.08052886570103772
CHF,0.05488645019872219
KGS,0.04941087194486585
AMD,0.0484078121778218
JPY,0.042083710323147616
TRY,0.04202074042956755
UZS,0.03792340344899875
BYN,0.0063581388842771066
AZN,-0.01049972033059496
