добавили,r2,прирост_r2
RUB,0.10215267367262415,0.10215267367262415
NOK,0.11533098564372446,0.01317831197110031
GEL,0.12271499966646782,0.007384014022743357
INR,0.12539829066062502,0.002683290994157206
ZAR,0.12649786791339368,0.0010995772527686576
CAD,0.12740943233521596,0.0009115644218222752
EUR,0.12748738561235828,7.795327714232858e-05
CNY,0.12749207644085203,4.6908284937474676e-06
